日付,銘柄名,コード,業種,TOPIXに占める個別銘柄のウェイト,ニューインデックス区分,調整係数対象銘柄
20211130,住友商,8053,卸売業,0.36%,TOPIX Large70,
20211130,日ユニシス,8056,情報・通信業,0.04%,TOPIX Mid400,
20211130,内田洋行,8057,卸売業,0.01%,TOPIX Small 1,
20211130,三菱商事,8058,卸売業,0.95%,TOPIX Core30,
20211130,第一実業,8059,卸売業,0.01%,TOPIX Small 2,
20211130,キヤノンＭＪ,8060,卸売業,0.02%,TOPIX Mid400,
20211130,西華産,8061,卸売業,0.00%,TOPIX Small 2,
20211130,佐藤商,8065,卸売業,0.00%,TOPIX Small 2,
20211130,菱洋エレク,8068,卸売業,0.01%,TOPIX Small 1,
20211130,東京産,8070,卸売業,0.00%,TOPIX Small 2,
20211130,ユアサ商,8074,卸売業,0.01%,TOPIX Small 2,
20211130,神鋼商,8075,卸売業,0.00%,TOPIX Small 2,
20211130,トルク,8077,卸売業,0.00%,TOPIX Small 2,○
20211130,阪和興,8078,卸売業,0.02%,TOPIX Small 1,
20211130,正栄食,8079,卸売業,0.01%,TOPIX Small 1,
20211130,カナデン,8081,卸売業,0.00%,TOPIX Small 2,
20211130,菱電商,8084,卸売業,0.00%,TOPIX Small 2,
20211130,ニプロ,8086,精密機器,0.03%,TOPIX Mid400,
20211130,岩谷産,8088,卸売業,0.05%,TOPIX Mid400,
20211130,ナイス,8089,卸売業,0.00%,TOPIX Small 2,
20211130,ニチモウ,8091,卸売業,0.00%,TOPIX Small 2,
20211130,極東貿易,8093,卸売業,0.00%,TOPIX Small 2,
20211130,アステナＨＤ,8095,卸売業,0.00%,TOPIX Small 2,
20211130,兼松エレク,8096,情報・通信業,0.01%,TOPIX Small 2,
20211130,三愛石,8097,卸売業,0.01%,TOPIX Small 2,
20211130,稲畑産,8098,卸売業,0.01%,TOPIX Small 1,
20211130,ＧＳＩクレオス,8101,卸売業,0.00%,TOPIX Small 2,
20211130,明和産,8103,卸売業,0.00%,TOPIX Small 2,
20211130,クワザワＨＤ,8104,卸売業,0.00%,TOPIX Small 2,○
20211130,キムラタン,8107,繊維製品,0.00%,TOPIX Small 2,
20211130,ゴルドウイン,8111,繊維製品,0.04%,TOPIX Mid400,
20211130,ユニチャーム,8113,化学,0.36%,TOPIX Large70,
20211130,デサント,8114,繊維製品,0.03%,TOPIX Small 1,
